target_id	pval	qval	b	se_b	mean_obs	var_obs	tech_var	sigma_sq	smooth_sigma_sq	final_sigma_sq
ENSMUST00000047621.14	1.74217913555712e-27	1.0792491184439e-26	4.55847885497867	0.419658834808993	1.39108854815488	2.98640984310091	0.12221799038779	0.141952316062073	0.123178500953904	0.141952316062073
ENSMUST00000109733.8	1.77368349172199e-27	1.09839139759753e-26	-3.75842901064497	0.346057453363659	2.13156814845832	5.31582261201145	0.0122481014609231	-0.00433468955868395	0.167385540081888	0.167385540081888
ENSMUST00000237333.2	1.845499170579e-27	1.1424757969534e-26	-2.79857161562886	0.25776459102438	4.78797078242103	0.939841806313471	0.0478292250595801	-0.0238682529591088	0.0518346515193689	0.0518346515193689
ENSMUST00000042665.9	1.88685830777497e-27	1.16768216746551e-26	-4.29273767235668	0.39545965150569	1.6261153146493	4.50865012029424	0.0952475990633886	-0.00758610257762239	0.139334904890114	0.139334904890114
ENSMUST00000059851.14	1.93481900451374e-27	1.19695537598966e-26	-4.93085324410485	0.454340731700732	3.48524043908138	5.22674970506451	0.0942587142117271	0.215379536511808	0.171943154434254	0.215379536511808
ENSMUST00000208173.2	1.97224036938587e-27	1.21969084795615e-26	-4.38093604446351	0.403735157724015	2.6057045837813	3.96986708394644	0.0633524716418371	-0.046642250569183	0.181150644731816	0.181150644731816
ENSMUST00000124630.8	2.06255075881639e-27	1.27510785864557e-26	4.76788288801656	0.439560919556362	2.18209726060098	4.13490984919776	0.120313365255631	0.0245421109952073	0.169507337746222	0.169507337746222
ENSMUST00000003245.10	2.07851551200355e-27	1.28454094911045e-26	-6.43514310265498	0.593307625195216	3.34883536904129	10.6846404763712	0.351221727760503	-0.348390869580242	0.176799179411677	0.176799179411677
ENSMUST00000225572.2	2.1312555648032e-27	1.31668737135328e-26	4.8724694423364	0.44932708846272	2.04154194752043	4.30521704473092	0.139590701865464	0.0803613350344323	0.163251546774113	0.163251546774113
ENSMUST00000181991.8	2.15561746189098e-27	1.33128592179535e-26	-4.72341688600032	0.435623588755264	1.81416310290484	6.11828692592767	0.133617202293511	0.0145638077438279	0.151034664326512	0.151034664326512
ENSMUST00000033591.6	2.24421528985598e-27	1.38553250821115e-26	-4.52648914726019	0.417603565538351	2.67720371722959	5.27151610628892	0.0793812020051158	0.0061566008156448	0.1822079049204	0.1822079049204
ENSMUST00000098990.10	2.37001348447077e-27	1.46270123025295e-26	-5.70239879968983	0.526332665559849	5.08571650212901	3.14233846720227	0.101122688346923	0.314416423906082	0.0320289529799908	0.314416423906082
ENSMUST00000134356.2	2.38367877499865e-27	1.47063600948696e-26	5.57497995276927	0.514596874333853	4.74402488286818	3.53917307007864	0.34201353486005	-0.284663217183509	0.0552013797512079	0.0552013797512079
ENSMUST00000219231.2	2.3921102799121e-27	1.47533746256498e-26	-4.96854173804235	0.458633457565689	1.88532081189387	3.85012641326325	0.160407848364256	-0.0426280694104308	0.155109124233732	0.155109124233732
ENSMUST00000239553.1	2.57999776137044e-27	1.59067794182392e-26	4.86350256091843	0.449224664662924	2.9114858151093	4.71604093355131	0.118407304284416	-0.107646144831835	0.184296894727859	0.184296894727859
ENSMUST00000155856.2	2.61896100548891e-27	1.61415326221051e-26	-4.58317374963403	0.423385371770419	1.98536497706528	4.81014156174222	0.108424194468646	0.0373748221481323	0.160458565075119	0.160458565075119
ENSMUST00000229891.2	2.63256149497277e-27	1.62198605930098e-26	5.1098767247078	0.4720619407605	3.09401227016366	6.70491786708406	0.151527797456821	-0.12442130824622	0.182735916415034	0.182735916415034
ENSMUST00000075896.7	2.695662750833e-27	1.66030186631055e-26	-0.736092805102885	0.0680155506286084	6.17243176013889	0.0746365117338959	0.00265899027097148	0.00102006637197859	0.00428018241999771	0.00428018241999771
ENSMUST00000057373.14	2.83570120818932e-27	1.74596254483911e-26	0.711578541423961	0.0657786254848057	6.35477770986551	0.193117964141985	0.00343764234729375	-0.000151134640160202	0.00305259900871174	0.00305259900871174
ENSMUST00000218820.2	2.86047190528074e-27	1.7606180376733e-26	-4.19821718776008	0.388113602591107	1.83404773753747	4.69003421133331	0.0737537624696922	-0.0261414879326192	0.15219449030468	0.15219449030468
ENSMUST00000133410.3	3.01754183610768e-27	1.85666613379995e-26	-5.71386945677547	0.528470953802052	2.87649747159803	8.66593420464061	0.234715188754311	-0.160937731749794	0.184207134764364	0.184207134764364
ENSMUST00000077783.5	3.10143281464026e-27	1.90763814787545e-26	4.0257119655033	0.372421335609818	1.01994802075795	2.72679672379827	0.112220151930127	0.0411044163354915	0.0958263248959744	0.0958263248959744
ENSMUST00000211234.2	3.3880828120376e-27	2.0832471327025e-26	4.9687265188861	0.460005487780828	1.5893009926939	5.97120112176282	0.180504596286883	-0.157370275232226	0.136902976895833	0.136902976895833
ENSMUST00000148525.2	3.39929253779479e-27	2.08943334496153e-26	5.53952749363181	0.512864731063817	2.01774094132824	4.28260632132397	0.145953547156883	0.24859180139686	0.162087556543148	0.24859180139686
ENSMUST00000071858.5	3.44837206180914e-27	2.11888483311435e-26	-0.583899245418521	0.0540655903352323	6.55305679569252	0.647377032274077	0.00228387080233824	-0.000762342827155641	0.00210076128510751	0.00210076128510751
ENSMUST00000234631.2	3.4667480980989e-27	2.1294567513753e-26	-5.25579163896168	0.486676974885984	4.20420204074931	4.06220736444498	0.248886996142687	-0.152093250778431	0.106394720683572	0.106394720683572
ENSMUST00000075317.12	3.50475009275015e-27	2.15207274432612e-26	4.10437868347795	0.380093415067316	2.09701234668622	3.85991898258568	0.050856344985345	0.015662718134166	0.165850161280958	0.165850161280958
ENSMUST00000146998.9	3.53591397288512e-27	2.17047598173589e-26	-4.70190188905056	0.435460917677903	2.0279435788497	5.6411023475652	0.121849270608042	0.00558523948532572	0.16259004562928	0.16259004562928
ENSMUST00000047368.8	3.58599070575024e-27	2.20047229946644e-26	-4.78993354761417	0.443666934166955	3.49691076107022	4.23817574857633	0.123829313808396	0.106136457234513	0.171431208901262	0.171431208901262
ENSMUST00000230482.2	3.60263121453287e-27	2.20993782562981e-26	-4.0548112202936	0.375591123850393	1.62008690864446	4.62909992470881	0.0726634648543164	0.10014878077129	0.138939573618485	0.138939573618485
ENSMUST00000189128.2	3.61139583136997e-27	2.21456734258115e-26	5.1802385023814	0.479847697197689	3.28772591167194	8.40898270117601	0.149727344670957	0.19565337408793	0.178448859123877	0.19565337408793
ENSMUST00000063574.7	3.66691787061861e-27	2.24785649581434e-26	1.36565547553311	0.126517673085617	5.4000358375036	0.360777778889985	0.00618199975875247	-0.00275129453485345	0.0178280826457459	0.0178280826457459
ENSMUST00000116669.2	3.67122564357463e-27	2.24973894896682e-26	7.22975511951188	0.669788940997461	2.15350473429634	8.17601711570661	0.346105220761674	0.326820617462077	0.168325675193478	0.326820617462077
ENSMUST00000239432.2	3.83709025642038e-27	2.35058934266668e-26	0.65262364294635	0.0604840108059472	8.2003594786563	0.403294211856587	0.00537470127706938	-0.00244345607921361	0.000112772067691533	0.000112772067691533
ENSMUST00000159766.8	3.8395071827109e-27	2.35127800131804e-26	-3.42747823874625	0.317654355490445	1.00188080127695	2.38756211945585	0.0568772872749237	-0.00492316369816798	0.0944791470681515	0.0944791470681515
ENSMUST00000235305.2	3.95466599808028e-27	2.42098502770394e-26	4.82493549946361	0.447281527823038	2.12380383731517	5.71094283880931	0.133044883613261	-0.0283014467361103	0.167046264084306	0.167046264084306
